"Ft_minus_F0_ppm","F0_ppm","Ft_ppm","FL_ppm","t_days","alpha","mu_day","mu_day_sem","mu_sigma_ratio","mu_year","mu_year_sem","T_G_years","T_G_years_sem"
13.4,95,108.4,3700,14,0.66,0.000408984092679423,6.87428292070417e-05,5.94948007518913,0.14927919382799,0.0250911326605702,4.64329397008025,0.780453739049231
13.5,95,108.5,3700,14,0.66,0.000412045032939513,6.92141466970493e-05,5.95319096749161,0.150396437022922,0.025263163544423,4.6088005426239,0.774173139714655
13.6,95,108.6,3700,14,0.66,0.000415106104376205,6.96858045814996e-05,5.95682444752039,0.151513728097315,0.0254353186722474,4.5748143700533,0.767995500011358
13.7,95,108.7,3700,14,0.66,0.000418167307000737,7.01577968912236e-05,5.96038253095498,0.152631067055269,0.0256075958652966,4.54132434459723,0.761918269676831
13.8,95,108.8,3700,14,0.66,0.00042122864082436,7.06301178120288e-05,5.9638671698863,0.153748453900891,0.0257799930013905,4.50831968044868,0.755938982546895
13.9,95,108.9,3700,14,0.66,0.000424290105858306,7.110276167983e-05,5.96728025514466,0.154865888638282,0.0259525080131379,4.47578990218382,0.750055253115528
14,95,109,3700,14,0.66,0.000427351702113822,7.1575722975954e-05,5.97062361853322,0.155983371271545,0.0261251388862232,4.44372483367649,0.744264773261351
14.1,95,109.1,3700,14,0.66,0.000430413429602174,7.20489963226174e-05,5.97389903496907,0.157100901804794,0.0262978836577553,4.41211458748479,0.738565309131917
14.2,95,109.2,3700,14,0.66,0.000433475288334605,7.25225764785597e-05,5.97710822453689,0.158218480242131,0.0264707404146743,4.38094955468655,0.732954698176975
14.3,95,109.3,3700,14,0.66,0.000436537278322374,7.2996458334849e-05,5.98025285445894,0.159336106587667,0.0266437072922199,4.35022039514048,0.72743084632231
14.4,95,109.4,3700,14,0.66,0.000439599399576721,7.34706369108171e-05,5.98333454098583,0.160453780845503,0.0268167824724482,4.31991802815391,0.721991725276679
14.5,95,109.5,3700,14,0.66,0.000442661652108899,7.39451073501624e-05,5.98635485121013,0.161571503019748,0.0269899641828093,4.29003362353586,0.716635369964518
14.6,95,109.6,3700,14,0.66,0.000445724035930182,7.44198649171776e-05,5.98931530480782,0.162689273114516,0.0271632506947698,4.26055859301825,0.711359876077681
14.7,95,109.7,3700,14,0.66,0.00044878655105182,7.4894904993104e-05,5.9922173757099,0.163807091133914,0.027336640322483,4.23148458202759,0.706163397739937
14.8,95,109.8,3700,14,0.66,0.000451849197485079,7.53702230726372e-05,5.99506249370676,0.164924957082054,0.0275101314215126,4.20280346178953,0.701044145278113
14.9,95,109.9,3700,14,0.66,0.000454911975241206,7.58458147605238e-05,5.99785204599026,0.16604287096304,0.0276837223875912,4.17450732175207,0.696000383094286
15,95,110,3700,14,0.66,0.000457974884331463,7.63216757683115e-05,6.00058737863317,0.167160832780984,0.0278574116554337,4.14658846231111,0.691030427633842
15.1,95,110.1,3700,14,0.66,0.000461037924767129,7.67978019111814e-05,6.00326979801233,0.168278842540002,0.0280311976975812,4.11903938782545,0.686132645444197
15.2,95,110.2,3700,14,0.66,0.000464101096559462,7.72741891049046e-05,6.00590057217443,0.169396900244204,0.0282050790232902,4.09185279990779,0.681305451319907
15.3,95,110.3,3700,14,0.66,0.000467164399719737,7.77508333629062e-05,6.00848093214926,0.170515005897704,0.0283790541774608,4.06502159097822,0.676547306529297
15.4,95,110.4,3700,14,0.66,0.000470227834259205,7.82277307934113e-05,6.0110120732124,0.17163315950461,0.0285531217395951,4.0385388380695,0.671856717118724
15.5,95,110.5,3700,14,0.66,0.000473291400189138,7.87048775967133e-05,6.01349515609821,0.172751361069035,0.0287272803228003,4.01239779687147,0.667232232290493
