"label_panel","FL_ppm","alpha_label","alpha","deltaH_permil","deltaH_ppm","generation_time_years","mu_day","detectable_fraction","incubation_time_days","TG_error_years"
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,294.520271386481,6.44788680404658e-06,0.0207444694085038,3251.08974555756,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,301.392115231029,6.30087276815926e-06,0.0207444694085038,3326.94524083777,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,308.424295196421,6.15721070283295e-06,0.0207444694085038,3404.57062148397,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,315.620552297764,6.01682418198646e-06,0.0207444694085038,3484.00718304368,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,322.984714836763,5.87963852207954e-06,0.0207444694085038,3565.29718458569,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,330.520700438317,5.74558074238233e-06,0.0207444694085038,3648.48387118129,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,338.232518134635,5.61457952615068e-06,0.0207444694085038,3733.61149691001,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,346.124270497987,5.48656518268676e-06,0.0207444694085038,3820.72534840211,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,354.200155823209,5.36146961026457e-06,0.0207444694085038,3909.8717689304,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,362.464470361129,5.23922625990093e-06,0.0207444694085038,4001.09818306418,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,370.921610604118,5.11977009995229e-06,0.0207444694085038,4094.4531218984,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,379.576075624948,5.00303758151899e-06,0.0207444694085038,4189.98624887147,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,388.43246947024,4.88896660463809e-06,0.0207444694085038,4287.74838618549,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,397.495503609744,4.77749648524718e-06,0.0207444694085038,4387.7915418429,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,406.769999442772,4.66856792290131e-06,0.0207444694085038,4490.16893731394,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,416.26089086311,4.56212296922609e-06,0.0207444694085038,4594.93503584972,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,425.973226883778,4.45810499708997e-06,0.0207444694085038,4702.14557145584,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,435.912174323026,4.35645867047948e-06,0.0207444694085038,4811.85757854202,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,446.083020553011,4.25712991506126e-06,0.0207444694085038,4924.12942226361,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,456.491176312592,4.16006588941537e-06,0.0207444694085038,5039.02082957098,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,467.142178585769,4.06521495692438e-06,0.0207444694085038,5156.59292098331,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,478.041693547274,3.97252665830353e-06,0.0207444694085038,5276.90824310387,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,489.195519576891,3.88195168475705e-06,0.0207444694085038,5400.03080189384,NA
